餐厅名称,餐厅ID,市场,城市,订单TC,人工干预TC,去除大单TC,人工干预TC占比,准点率,30分钟内送达TC,30分钟送达TC占比,投诉TC,投诉TC占比,平均离店时间,等待骑手时间,等待餐点时间,订单平均完成时间,趟次,并单率,延时时间,宅急送营业时间,延时占营业时间,停单时间,停单占营业时间,骑手实际工作时间,CPH,到店违规占比,妥投违规占比,离店违规占比,到店违规TC,妥投违规TC,离店违规TC,准时TC,计费TC,
PSH890路桥中盛,	2094,杭州市场,台州市,154,14,154,9.09%,93.51%,85,55.19%,1,0.65%,20.3,10.6,9.6,30.0,124,1.24,104.8,4830,2.17%,4.0,0.08%,164.9,0.93,0.0130,0.0325,0.0065,2,5,1,144,154,
GZ1504昌岗苏宁PH,	662,广州市场,广州市,159,37,158,23.27%,88.54%,67,42.68%,5,3.14%,17.9,12.1,6.7,33.0,114,1.39,372.2,4830,7.71%,71.5,1.48%,103.5,1.54,0.0828,0.1656,0.0000,13,26,0,139,158,
PSH109嘉兴中山,	752,杭州市场,嘉兴市,346,67,344,19.36%,95.93%,176,51.16%,4,1.16%,18.0,9.1,8.9,30.2,258,1.34,69.2,5040,1.37%,1.3,0.03%,265.5,1.30,0.0087,0.0669,0.0058,3,23,2,330,347,
PBJ723立汤路,	2368,北京市场,北京市,673,2,666,0.3%,96.99%,450,67.67%,5,0.74%,11.2,3.7,7.5,26.0,390,1.73,85.0,5040,1.69%,0.0,0%,298.5,2.25,0.0015,0.0421,0.0150,1,28,10,645,673,
PSH836杭州远洋,	1799,杭州市场,杭州市,197,35,195,17.77%,95.34%,80,41.45%,1,0.51%,18.4,15.5,2.9,32.0,141,1.40,247.2,5040,4.91%,10.9,0.22%,132.7,1.48,0.0000,0.0363,0.0000,0,7,0,184,197,
GZH753埌东PHHS,	2207,深圳市场,南宁市,683,146,678,21.38%,94.38%,243,35.95%,11,1.61%,21.0,8.6,12.4,33.9,477,1.43,153.3,5040,3.04%,5.7,0.11%,397.4,1.72,0.0518,0.0710,0.0133,35,48,9,638,683,
GZH748国贸PHHS,	2448,深圳市场,海口市,834,68,831,8.15%,98.56%,339,40.79%,3,0.36%,18.5,7.2,11.2,31.6,512,1.63,118.7,5040,2.36%,0.0,0%,499.0,1.67,0.0060,0.0830,0.0108,5,69,9,819,834,
PBJ267通州万达广场店PH,	1558,北京市场,北京市,593,44,589,7.42%,98.81%,258,44.03%,0,0%,17.2,6.2,10.9,30.7,384,1.54,10.0,5040,0.2%,0.0,0%,437.4,1.36,0.0000,0.0529,0.0188,0,31,11,579,594,
PBJ737管庄,	2278,北京市场,北京市,1230,41,1226,3.33%,96.24%,705,57.65%,4,0.33%,12.1,2.1,10.0,28.4,672,1.83,26.6,5040,0.53%,0.0,0%,673.7,1.83,0.0025,0.0074,0.0155,3,9,19,1177,1230,
PSH462温州华润万象店PH,	1101,杭州市场,温州市,469,43,465,9.17%,92.84%,176,38.18%,0,0%,19.9,7.1,12.8,32.5,309,1.52,87.9,4830,1.82%,0.0,0%,358.4,1.31,0.0000,0.0195,0.0043,0,9,2,428,471,
PBJ759增光路店PHHS,	2700,北京市场,北京市,1630,27,1614,1.66%,97.57%,1299,80.93%,7,0.43%,13.3,1.0,12.3,21.5,841,1.94,10.1,5040,0.2%,0.0,0%,712.4,2.29,0.0075,0.0106,0.0012,12,17,2,1566,1632,
PSH145义乌北苑,	1663,杭州市场,金华市,303,12,302,3.96%,97.66%,175,58.53%,0,0%,17.4,6.8,10.6,28.9,236,1.28,55.6,4830,1.15%,8.1,0.17%,239.1,1.27,0.0134,0.0167,0.0100,4,5,3,292,305,
YLC004东莞地王餐厅,	2071,广州市场,东莞市,124,24,121,19.35%,96.67%,91,75.83%,0,0%,17.4,9.2,8.2,26.1,113,1.10,35.0,4830,0.73%,0.0,0%,149.6,0.83,0.0167,0.0500,0.0000,2,6,0,116,124,
